company,name,mpg,cylinders,displacement,horsepower,weight,acceleration,sale_date,price,origin
Amc,amc rebel sst,16.0,8,304.0,150.0,3433,12.0,1970-01-01,33289,usa
Amc,amc gremlin,21.0,6,199.0,90.0,2648,15.0,1970-01-01,21394,USA
Buick,buick skylark 320,15.0,8,350.0,165.0,3693,11.5,1970-01-01,10860,USA
Plymouth,plymouth satellite,18.0,8,318.0,150.0,3436,11.0,1970-01-01,48158,USA
Amc,amc rebel sst,16.0,8,304.0,150.0,3433,12.0,1970-01-01,21284,USA
Ford,ford torino,17.0,8,302.0,140.0,3449,10.5,1970-01-01,16265,USA
Ford,ford galaxie 500,15.0,8,429.0,198.0,4341,10.0,1970-01-01,26850,USA
Chevrolet,chevrolet impala,14.0,8,454.0,220.0,4354,9.0,1970-01-01,47194,USA
Plymouth,plymouth fury iii,14.0,8,440.0,215.0,4312,8.5,1970-01-01,31962,USA
Pontiac,pontiac catalina,14.0,8,455.0,225.0,4425,10.0,1970-01-01,26023,USA
Amc,amc ambassador dpl,15.0,8,390.0,190.0,3850,8.5,1970-01-01,11685,USA
Ford,ford f250,10.0,8,360.0,215.0,4615,14.0,1970-01-01,13556,USA
Chevrolet,chevrolet chevelle concours (sw),,8,350.0,165.0,4142,11.5,1970-01-01,12433,USA
Ford,ford torino (sw),,8,351.0,153.0,4034,11.0,1970-01-01,15311,USA
Plymouth,plymouth satellite (sw),,8,383.0,175.0,4166,10.5,1970-01-01,47819,USA
Amc,amc rebel sst (sw),,8,360.0,175.0,3850,11.0,1970-01-01,49188,USA
Dodge,dodge challenger se,15.0,8,383.0,170.0,3563,10.0,1970-01-01,27568,USA
Citroen,citroen ds-21 pallas,,4,133.0,115.0,3090,17.5,1970-01-01,10769,Europe
Ford,ford mustang boss 302,,8,302.0,140.0,3353,8.0,1970-01-01,38693,USA
Plymouth,plymouth 'cuda 340,14.0,8,340.0,160.0,3609,8.0,1970-01-01,29769,USA
Saab,saab 99e,25.0,4,104.0,95.0,2375,17.5,1970-01-01,11267,Europe
Audi,audi 100 ls,24.0,4,107.0,90.0,2430,14.5,1970-01-01,11899,Europe
Peugeot,peugeot 504,25.0,4,110.0,87.0,2672,17.5,1970-01-01,45773,Europe
Volkswagen,volkswagen 1131 deluxe sedan,26.0,4,97.0,46.0,1835,20.5,1970-01-01,29118,Europe
Datsun,datsun pl510,27.0,4,97.0,88.0,2130,14.5,1970-01-01,10189,Japan
Bmw,bmw 2002,26.0,4,121.0,113.0,2234,12.5,1970-01-01,41551,Europe
Amc,amc hornet,18.0,6,199.0,97.0,2774,15.5,1970-01-01,28431,USA
Plymouth,plymouth duster,22.0,6,198.0,95.0,2833,15.5,1970-01-01,28942,USA
Toyota,toyota corona mark ii,24.0,4,113.0,95.0,2372,15.0,1970-01-01,35658,Japan
Buick,buick estate wagon (sw),14.0,8,455.0,225.0,3086,10.0,1970-01-01,37480,USA
Chevrolet,chevrolet monte carlo,15.0,8,400.0,150.0,3761,9.5,1970-01-01,16396,USA
Ford,ford maverick,21.0,6,200.0,85.0,2587,16.0,1970-01-01,12747,USA
Pontiac,pontiac catalina brougham,14.0,8,400.0,175.0,4464,11.5,1971-01-01,37350,usa
Chevrolet,chevrolet impala,14.0,8,350.0,165.0,4209,12.0,1971-01-01,44850,usa
Amc,amc matador,18.0,6,232.0,100.0,3288,15.5,1971-01-01,37122,usa
Ford,ford torino 500,19.0,6,250.0,88.0,3302,15.5,1971-01-01,41996,usa
Chevrolet,chevrolet chevelle malibu,17.0,6,250.0,100.0,3329,15.5,1971-01-01,22161,usa
Ford,ford pinto,25.0,4,98.0,,2046,19.0,1971-01-01,30491,usa
Amc,amc gremlin,19.0,6,232.0,100.0,2634,13.0,1971-01-01,48494,usa
Toyota,toyota corona,25.0,4,113.0,95.0,2228,14.0,1971-01-01,30764,japan
Chevrolet,chevrolet vega 2300,28.0,4,140.0,90.0,2264,15.5,1971-01-01,34107,usa
Datsun,datsun pl510,27.0,4,97.0,88.0,2130,14.5,1971-01-01,27450,japan
Ford,ford galaxie 500,14.0,8,351.0,153.0,4154,13.5,1971-01-01,37472,usa
Plymouth,plymouth satellite custom,16.0,6,225.0,105.0,3439,15.5,1971-01-01,13373,usa
Plymouth,plymouth fury iii,14.0,8,318.0,150.0,4096,13.0,1971-01-01,38761,usa
Chevrolet,chevrolet vega (sw),22.0,4,140.0,72.0,2408,19.0,1971-01-01,21261,usa
Ford,ford country squire (sw),13.0,8,400.0,170.0,4746,12.0,1971-01-01,33132,usa
Amc,amc hornet sportabout (sw),18.0,6,258.0,110.0,2962,13.5,1971-01-01,21653,USA
Pontiac,pontiac safari (sw),13.0,8,400.0,175.0,5140,12.0,1971-01-01,11021,USA
Ford,ford country squire (sw),13.0,8,400.0,170.0,4746,12.0,1971-01-01,29457,USA
Dodge,dodge monaco (sw),12.0,8,383.0,180.0,4955,11.5,1971-01-01,33939,USA
Plymouth,plymouth fury iii,14.0,8,318.0,150.0,4096,13.0,1971-01-01,13943,USA
Ford,ford galaxie 500,14.0,8,351.0,153.0,4154,13.5,1971-01-01,11585,USA
Pontiac,pontiac catalina brougham,14.0,8,400.0,175.0,4464,11.5,1971-01-01,36531,USA
Chevrolet,chevrolet impala,14.0,8,350.0,165.0,4209,12.0,1971-01-01,45920,USA
Chevrolet,chevrolet vega (sw),22.0,4,140.0,72.0,2408,19.0,1971-01-01,23417,USA
Amc,amc matador,18.0,6,232.0,100.0,3288,15.5,1971-01-01,24541,USA
Dodge,dodge monaco (sw),12.0,8,383.0,180.0,4955,11.5,1971-01-01,35351,usa
Plymouth,plymouth satellite custom,16.0,6,225.0,105.0,3439,15.5,1971-01-01,12612,USA
Amc,amc gremlin,19.0,6,232.0,100.0,2634,13.0,1971-01-01,33897,USA
Volkswagen,volkswagen super beetle 117,,4,97.0,48.0,1978,20.0,1971-01-01,21016,Europe
Ford,ford pinto,25.0,4,98.0,,2046,19.0,1971-01-01,18433,USA
Toyota,toyota corona,25.0,4,113.0,95.0,2228,14.0,1971-01-01,18792,Japan
Chevrolet,chevrolet vega 2300,28.0,4,140.0,90.0,2264,15.5,1971-01-01,20627,USA
Datsun,datsun pl510,27.0,4,97.0,88.0,2130,14.5,1971-01-01,31777,Japan
Ford,ford torino 500,19.0,6,250.0,88.0,3302,15.5,1971-01-01,27159,USA
Pontiac,pontiac firebird,19.0,6,250.0,100.0,3282,15.0,1971-01-01,19692,USA
Chevrolet,chevrolet chevelle malibu,17.0,6,250.0,100.0,3329,15.5,1971-01-01,33483,USA
Mercury,mercury capri 2000,23.0,4,122.0,86.0,2220,14.0,1971-01-01,15675,USA
Ford,ford mustang,18.0,6,250.0,88.0,3139,14.5,1971-01-01,16873,USA
Pontiac,pontiac safari (sw),13.0,8,400.0,175.0,5140,12.0,1971-01-01,25305,usa
Amc,amc hornet sportabout (sw),18.0,6,258.0,110.0,2962,13.5,1971-01-01,19817,usa
Pontiac,pontiac firebird,19.0,6,250.0,100.0,3282,15.0,1971-01-01,10417,usa
Ford,ford mustang,18.0,6,250.0,88.0,3139,14.5,1971-01-01,30358,usa
Mercury,mercury capri 2000,23.0,4,122.0,86.0,2220,14.0,1971-01-01,13267,usa
Opel,opel 1900,28.0,4,116.0,90.0,2123,14.0,1971-01-01,27209,europe
Peugeot,peugeot 304,30.0,4,79.0,70.0,2074,19.5,1971-01-01,34052,europe
Fiat,fiat 124b,30.0,4,88.0,76.0,2065,14.5,1971-01-01,48513,europe
Plymouth,plymouth cricket,26.0,4,91.0,70.0,1955,20.5,1971-01-01,17543,usa
Datsun,datsun 1200,35.0,4,72.0,69.0,1613,18.0,1971-01-01,21338,japan
Volkswagen,volkswagen model 111,27.0,4,97.0,60.0,1834,19.0,1971-01-01,10412,europe
Plymouth,plymouth cricket,26.0,4,91.0,70.0,1955,20.5,1971-01-01,39127,USA
Volkswagen,volkswagen model 111,27.0,4,97.0,60.0,1834,19.0,1971-01-01,21534,Europe
Datsun,datsun 1200,35.0,4,72.0,69.0,1613,18.0,1971-01-01,42606,Japan
Toyota,toyota corolla 1200,31.0,4,71.0,65.0,1773,19.0,1971-01-01,43763,Japan
Fiat,fiat 124b,30.0,4,88.0,76.0,2065,14.5,1971-01-01,36557,Europe
Peugeot,peugeot 304,30.0,4,79.0,70.0,2074,19.5,1971-01-01,47065,Europe
Toyota,toyota corolla 1200,31.0,4,71.0,65.0,1773,19.0,1971-01-01,36092,japan
Opel,opel 1900,28.0,4,116.0,90.0,2123,14.0,1971-01-01,10161,Europe
Ford,ford gran torino (sw),13.0,8,302.0,140.0,4294,16.0,1972-01-01,15644,usa
Plymouth,plymouth satellite custom (sw),14.0,8,318.0,150.0,4077,14.0,1972-01-01,12914,usa
Volvo,volvo 145e (sw),18.0,4,121.0,112.0,2933,14.5,1972-01-01,31352,europe
Volkswagen,volkswagen 411 (sw),22.0,4,121.0,76.0,2511,18.0,1972-01-01,24397,europe
Datsun,datsun 510 (sw),28.0,4,97.0,92.0,2288,17.0,1972-01-01,23923,japan
Renault,renault 12 (sw),26.0,4,96.0,69.0,2189,18.0,1972-01-01,10698,europe
Ford,ford pinto (sw),22.0,4,122.0,86.0,2395,16.0,1972-01-01,49954,usa
Chevrolet,chevrolet chevelle concours (sw),13.0,8,307.0,130.0,4098,14.0,1972-01-01,30150,usa
Toyouta,toyouta corona mark ii (sw),23.0,4,120.0,97.0,2506,14.5,1972-01-01,26779,japan
Dodge,dodge colt (sw),28.0,4,98.0,80.0,2164,15.0,1972-01-01,17400,usa
Peugeot,peugeot 504 (sw),21.0,4,120.0,87.0,2979,19.5,1972-01-01,10728,europe
Amc,amc matador (sw),15.0,8,304.0,150.0,3892,12.5,1972-01-01,46208,usa
Mercury,mercury marquis,11.0,8,429.0,208.0,4633,11.0,1972-01-01,15104,usa
Chrysler,chrysler newport royal,13.0,8,400.0,190.0,4422,12.5,1972-01-01,17357,usa
Oldsmobile,oldsmobile delta 88 royale,12.0,8,350.0,160.0,4456,13.5,1972-01-01,33190,usa
Buick,buick lesabre custom,13.0,8,350.0,155.0,4502,13.5,1972-01-01,44911,usa
Amc,amc ambassador sst,17.0,8,304.0,150.0,3672,11.5,1972-01-01,47841,usa
Ford,ford galaxie 500,14.0,8,351.0,153.0,4129,13.0,1972-01-01,27955,usa
Plymouth,plymouth fury iii,15.0,8,318.0,150.0,4135,13.5,1972-01-01,30463,usa
Pontiac,pontiac catalina,14.0,8,400.0,175.0,4385,12.0,1972-01-01,27506,usa
Chevrolet,chevrolet impala,13.0,8,350.0,165.0,4274,12.0,1972-01-01,45735,usa
Chevrolet,chevrolet vega,20.0,4,140.0,90.0,2408,19.5,1972-01-01,48756,usa
Volkswagen,volkswagen type 3,23.0,4,97.0,54.0,2254,23.5,1972-01-01,37384,europe
Dodge,dodge colt hardtop,25.0,4,97.5,80.0,2126,17.0,1972-01-01,33548,usa
Toyota,toyota corolla 1600 (sw),27.0,4,97.0,88.0,2100,16.5,1972-01-01,34466,japan
Mazda,mazda rx2 coupe,19.0,3,70.0,97.0,2330,13.5,1972-01-01,42479,japan
Ford,ford pinto runabout,21.0,4,122.0,86.0,2226,16.5,1972-01-01,28888,usa
Toyota,toyota corona hardtop,24.0,4,113.0,95.0,2278,15.5,1972-01-01,43496,japan
Toyouta,toyouta corona mark ii (sw),23.0,4,120.0,97.0,2506,14.5,1972-01-01,48660,Japan
Buick,buick lesabre custom,13.0,8,350.0,155.0,4502,13.5,1972-01-01,31243,USA
Oldsmobile,oldsmobile delta 88 royale,12.0,8,350.0,160.0,4456,13.5,1972-01-01,49099,USA
Chrysler,chrysler newport royal,13.0,8,400.0,190.0,4422,12.5,1972-01-01,18571,USA
Amc,amc matador (sw),15.0,8,304.0,150.0,3892,12.5,1972-01-01,48044,USA
Chevrolet,chevrolet chevelle concours (sw),13.0,8,307.0,130.0,4098,14.0,1972-01-01,12568,USA
Ford,ford gran torino (sw),13.0,8,302.0,140.0,4294,16.0,1972-01-01,12027,USA
Plymouth,plymouth satellite custom (sw),14.0,8,318.0,150.0,4077,14.0,1972-01-01,12695,USA
Volvo,volvo 145e (sw),18.0,4,121.0,112.0,2933,14.5,1972-01-01,15258,Europe
Volkswagen,volkswagen 411 (sw),22.0,4,121.0,76.0,2511,18.0,1972-01-01,32002,Europe
Peugeot,peugeot 504 (sw),21.0,4,120.0,87.0,2979,19.5,1972-01-01,49504,Europe
Renault,renault 12 (sw),26.0,4,96.0,69.0,2189,18.0,1972-01-01,43159,Europe
Ford,ford pinto (sw),22.0,4,122.0,86.0,2395,16.0,1972-01-01,23986,USA
Datsun,datsun 510 (sw),28.0,4,97.0,92.0,2288,17.0,1972-01-01,22666,Japan
Dodge,dodge colt (sw),28.0,4,98.0,80.0,2164,15.0,1972-01-01,13561,USA
Toyota,toyota corolla 1600 (sw),27.0,4,97.0,88.0,2100,16.5,1972-01-01,36854,Japan
Mercury,mercury marquis,11.0,8,429.0,208.0,4633,11.0,1972-01-01,22185,USA
Amc,amc ambassador sst,17.0,8,304.0,150.0,3672,11.5,1972-01-01,31271,USA
Mazda,mazda rx2 coupe,19.0,3,70.0,97.0,2330,13.5,1972-01-01,49976,Japan
Plymouth,plymouth fury iii,15.0,8,318.0,150.0,4135,13.5,1972-01-01,27262,USA
Ford,ford galaxie 500,14.0,8,351.0,153.0,4129,13.0,1972-01-01,19268,USA
Dodge,dodge colt hardtop,25.0,4,97.5,80.0,2126,17.0,1972-01-01,11016,USA
Volkswagen,volkswagen type 3,23.0,4,97.0,54.0,2254,23.5,1972-01-01,34253,Europe
Toyota,toyota corona hardtop,24.0,4,113.0,95.0,2278,15.5,1972-01-01,35851,Japan
Ford,ford pinto runabout,21.0,4,122.0,86.0,2226,16.5,1972-01-01,33247,USA
Chevrolet,chevrolet impala,13.0,8,350.0,165.0,4274,12.0,1972-01-01,34300,USA
Pontiac,pontiac catalina,14.0,8,400.0,175.0,4385,12.0,1972-01-01,18529,USA
Chevrolet,chevrolet vega,20.0,4,140.0,90.0,2408,19.5,1972-01-01,34276,USA
Ford,ford maverick,18.0,6,250.0,88.0,3021,16.5,1973-01-01,11062,usa
Plymouth,plymouth fury gran sedan,14.0,8,318.0,150.0,4237,14.5,1973-01-01,47259,usa
Amc,amc hornet,18.0,6,232.0,100.0,2945,16.0,1973-01-01,37192,usa
Chevrolet,chevrolet nova custom,16.0,6,250.0,100.0,3278,18.0,1973-01-01,11167,usa
Plymouth,plymouth valiant,18.0,6,225.0,105.0,3121,16.5,1973-01-01,31972,usa
Amc,amc ambassador brougham,13.0,8,360.0,175.0,3821,11.0,1973-01-01,21130,usa
Buick,buick electra 225 custom,12.0,8,455.0,225.0,4951,11.0,1973-01-01,41667,usa
Chrysler,chrysler new yorker brougham,13.0,8,440.0,215.0,4735,11.0,1973-01-01,33576,usa
Ford,ford ltd,13.0,8,351.0,158.0,4363,13.0,1973-01-01,31364,usa
Buick,buick century 350,13.0,8,350.0,175.0,4100,13.0,1973-01-01,46939,usa
Toyota,toyota mark ii,20.0,6,156.0,122.0,2807,13.5,1973-01-01,39723,Japan
Chevrolet,chevrolet caprice classic,13.0,8,400.0,150.0,4464,12.0,1973-01-01,18335,usa
Oldsmobile,oldsmobile omega,11.0,8,350.0,180.0,3664,11.0,1973-01-01,13627,USA
Amc,amc matador,14.0,8,304.0,150.0,3672,11.5,1973-01-01,14360,usa
Chevrolet,chevrolet malibu,13.0,8,350.0,145.0,3988,13.0,1973-01-01,45270,usa
Ford,ford gran torino,14.0,8,302.0,137.0,4042,14.5,1973-01-01,27101,usa
Dodge,dodge coronet custom,15.0,8,318.0,150.0,3777,12.5,1973-01-01,42307,usa
Mercury,mercury marquis brougham,12.0,8,429.0,198.0,4952,11.5,1973-01-01,15486,usa
Plymouth,plymouth duster,23.0,6,198.0,95.0,2904,16.0,1973-01-01,28540,usa
Saab,saab 99le,24.0,4,121.0,110.0,2660,14.0,1973-01-01,39467,Europe
Volkswagen,volkswagen super beetle,26.0,4,97.0,46.0,1950,21.0,1973-01-01,34244,europe
Mercury,mercury capri v6,21.0,6,155.0,107.0,2472,14.0,1973-01-01,24820,USA
Ford,ford country,12.0,8,400.0,167.0,4906,12.5,1973-01-01,31689,usa
Saab,saab 99le,24.0,4,121.0,110.0,2660,14.0,1973-01-01,11542,europe
Dodge,dodge dart custom,15.0,8,318.0,150.0,3399,11.0,1973-01-01,21516,usa
Volvo,volvo 144ea,19.0,4,121.0,112.0,2868,15.5,1973-01-01,17056,europe
Audi,audi 100ls,20.0,4,114.0,91.0,2582,14.0,1973-01-01,45307,europe
Opel,opel manta,24.0,4,116.0,75.0,2158,15.5,1973-01-01,27337,europe
Fiat,fiat 128,29.0,4,68.0,49.0,1867,19.5,1973-01-01,33625,europe
Pontiac,pontiac grand prix,16.0,8,400.0,230.0,4278,9.5,1973-01-01,16731,usa
Chevrolet,chevrolet monte carlo s,15.0,8,350.0,145.0,4082,13.0,1973-01-01,47614,usa
Fiat,fiat 124 sport coupe,26.0,4,98.0,90.0,2265,15.5,1973-01-01,16801,europe
Dodge,dodge dart custom,15.0,8,318.0,150.0,3399,11.0,1973-01-01,12693,USA
Mercury,mercury capri v6,21.0,6,155.0,107.0,2472,14.0,1973-01-01,34394,usa
Ford,ford pinto,19.0,4,122.0,85.0,2310,18.5,1973-01-01,47098,usa
Maxda,maxda rx3,18.0,3,70.0,90.0,2124,13.5,1973-01-01,18924,japan
Datsun,datsun 610,22.0,4,108.0,94.0,2379,16.5,1973-01-01,48102,japan
Chevrolet,chevrolet vega,21.0,4,140.0,72.0,2401,19.5,1973-01-01,33714,usa
Toyota,toyota carina,20.0,4,97.0,88.0,2279,19.0,1973-01-01,19348,japan
Amc,amc gremlin,18.0,6,232.0,100.0,2789,15.0,1973-01-01,47497,usa
Oldsmobile,oldsmobile vista cruiser,12.0,8,350.0,180.0,4499,12.5,1973-01-01,32925,usa
Plymouth,plymouth custom suburb,13.0,8,360.0,170.0,4654,13.0,1973-01-01,21174,usa
Chevrolet,chevrolet impala,11.0,8,400.0,150.0,4997,14.0,1973-01-01,31545,usa
Volvo,volvo 144ea,19.0,4,121.0,112.0,2868,15.5,1973-01-01,32299,Europe
Oldsmobile,oldsmobile omega,11.0,8,350.0,180.0,3664,11.0,1973-01-01,49081,usa
Opel,opel manta,24.0,4,116.0,75.0,2158,15.5,1973-01-01,19914,Europe
Oldsmobile,oldsmobile vista cruiser,12.0,8,350.0,180.0,4499,12.5,1973-01-01,35446,USA
Plymouth,plymouth custom suburb,13.0,8,360.0,170.0,4654,13.0,1973-01-01,16910,USA
Audi,audi 100ls,20.0,4,114.0,91.0,2582,14.0,1973-01-01,37890,Europe
Chevrolet,chevrolet impala,11.0,8,400.0,150.0,4997,14.0,1973-01-01,27412,USA
Volkswagen,volkswagen super beetle,26.0,4,97.0,46.0,1950,21.0,1973-01-01,37266,Europe
Plymouth,plymouth duster,23.0,6,198.0,95.0,2904,16.0,1973-01-01,23773,USA
Ford,ford maverick,18.0,6,250.0,88.0,3021,16.5,1973-01-01,18110,USA
Amc,amc hornet,18.0,6,232.0,100.0,2945,16.0,1973-01-01,42482,USA
Chevrolet,chevrolet nova custom,16.0,6,250.0,100.0,3278,18.0,1973-01-01,15056,USA
Plymouth,plymouth valiant,18.0,6,225.0,105.0,3121,16.5,1973-01-01,34538,USA
Amc,amc gremlin,18.0,6,232.0,100.0,2789,15.0,1973-01-01,10206,USA
Amc,amc ambassador brougham,13.0,8,360.0,175.0,3821,11.0,1973-01-01,20965,USA
Chrysler,chrysler new yorker brougham,13.0,8,440.0,215.0,4735,11.0,1973-01-01,40818,USA
Plymouth,plymouth fury gran sedan,14.0,8,318.0,150.0,4237,14.5,1973-01-01,24039,USA
Ford,ford ltd,13.0,8,351.0,158.0,4363,13.0,1973-01-01,21837,USA
Chevrolet,chevrolet caprice classic,13.0,8,400.0,150.0,4464,12.0,1973-01-01,45222,USA
Mercury,mercury marquis brougham,12.0,8,429.0,198.0,4952,11.5,1973-01-01,33599,USA
Dodge,dodge coronet custom,15.0,8,318.0,150.0,3777,12.5,1973-01-01,23067,USA
Ford,ford gran torino,14.0,8,302.0,137.0,4042,14.5,1973-01-01,40535,USA
Chevrolet,chevrolet malibu,13.0,8,350.0,145.0,3988,13.0,1973-01-01,18392,USA
Amc,amc matador,14.0,8,304.0,150.0,3672,11.5,1973-01-01,32662,USA
Buick,buick century 350,13.0,8,350.0,175.0,4100,13.0,1973-01-01,48952,USA
Buick,buick electra 225 custom,12.0,8,455.0,225.0,4951,11.0,1973-01-01,29115,USA
Toyota,toyota carina,20.0,4,97.0,88.0,2279,19.0,1973-01-01,31518,Japan
Ford,ford country,12.0,8,400.0,167.0,4906,12.5,1973-01-01,43270,USA
Datsun,datsun 610,22.0,4,108.0,94.0,2379,16.5,1973-01-01,33419,Japan
Maxda,maxda rx3,18.0,3,70.0,90.0,2124,13.5,1973-01-01,32403,Japan
Ford,ford pinto,19.0,4,122.0,85.0,2310,18.5,1973-01-01,28141,USA
Toyota,toyota mark ii,20.0,6,156.0,122.0,2807,13.5,1973-01-01,31677,japan
Fiat,fiat 124 sport coupe,26.0,4,98.0,90.0,2265,15.5,1973-01-01,16374,Europe
Chevrolet,chevrolet monte carlo s,15.0,8,350.0,145.0,4082,13.0,1973-01-01,11678,USA
Pontiac,pontiac grand prix,16.0,8,400.0,230.0,4278,9.5,1973-01-01,43827,USA
Fiat,fiat 128,29.0,4,68.0,49.0,1867,19.5,1973-01-01,26198,Europe
Chevrolet,chevrolet vega,21.0,4,140.0,72.0,2401,19.5,1973-01-01,32361,USA
Volkswagen,volkswagen dasher,26.0,4,79.0,67.0,1963,15.5,1974-01-01,44578,europe
Opel,opel manta,26.0,4,97.0,78.0,2300,14.5,1974-01-01,16588,europe
Datsun,datsun 710,32.0,4,83.0,61.0,2003,19.0,1974-01-01,36790,japan
Dodge,dodge colt,28.0,4,90.0,75.0,2125,14.5,1974-01-01,35289,usa
Fiat,fiat 128,24.0,4,90.0,75.0,2108,15.5,1974-01-01,38178,europe
Audi,audi fox,29.0,4,98.0,83.0,2219,16.5,1974-01-01,13748,Europe
Fiat,fiat 124 tc,26.0,4,116.0,75.0,2246,14.0,1974-01-01,38710,europe
Honda,honda civic,24.0,4,120.0,97.0,2489,15.0,1974-01-01,25485,japan
Toyota,toyota corona,31.0,4,76.0,52.0,1649,16.5,1974-01-01,48069,japan
Audi,audi fox,29.0,4,98.0,83.0,2219,16.5,1974-01-01,29870,europe
Ford,ford gran torino (sw),14.0,8,302.0,140.0,4638,16.0,1974-01-01,45909,usa
Dodge,dodge coronet custom (sw),14.0,8,318.0,150.0,4457,13.5,1974-01-01,35731,usa
Buick,buick century luxus (sw),13.0,8,350.0,150.0,4699,14.5,1974-01-01,11324,usa
Ford,ford gran torino,16.0,8,302.0,140.0,4141,14.0,1974-01-01,47080,usa
Plymouth,plymouth satellite sebring,18.0,6,225.0,105.0,3613,16.5,1974-01-01,36256,usa
Amc,amc matador,16.0,6,258.0,110.0,3632,18.0,1974-01-01,27749,usa
Chevrolet,chevrolet chevelle malibu classic,16.0,6,250.0,100.0,3781,17.0,1974-01-01,36432,usa
Chevrolet,chevrolet vega,25.0,4,140.0,75.0,2542,17.0,1974-01-01,23807,usa
Toyota,toyota corolla 1200,32.0,4,71.0,65.0,1836,21.0,1974-01-01,38295,japan
Ford,ford pinto,26.0,4,122.0,80.0,2451,16.5,1974-01-01,36962,usa
Datsun,datsun b210,31.0,4,79.0,67.0,1950,19.0,1974-01-01,32556,japan
Chevrolet,chevrolet nova,15.0,6,250.0,100.0,3336,17.0,1974-01-01,27924,usa
Amc,amc hornet,19.0,6,232.0,100.0,2901,16.0,1974-01-01,29065,usa
Ford,ford maverick,21.0,6,200.0,,2875,17.0,1974-01-01,33322,usa
Amc,amc matador (sw),14.0,8,304.0,150.0,4257,15.5,1974-01-01,33803,usa
Volkswagen,volkswagen dasher,26.0,4,79.0,67.0,1963,15.5,1974-01-01,41968,Europe
Amc,amc hornet,19.0,6,232.0,100.0,2901,16.0,1974-01-01,28047,USA
Ford,ford gran torino (sw),14.0,8,302.0,140.0,4638,16.0,1974-01-01,15530,USA
Opel,opel manta,26.0,4,97.0,78.0,2300,14.5,1974-01-01,42562,Europe
Toyota,toyota corona,31.0,4,76.0,52.0,1649,16.5,1974-01-01,23545,Japan
Datsun,datsun 710,32.0,4,83.0,61.0,2003,19.0,1974-01-01,10663,Japan
Dodge,dodge colt,28.0,4,90.0,75.0,2125,14.5,1974-01-01,44766,USA
Fiat,fiat 128,24.0,4,90.0,75.0,2108,15.5,1974-01-01,17994,Europe
